,origin_id,lat,lon
154,301638543,31.2473257,121.4664199
155,301638544,31.2441977,121.4669863
156,301638545,31.2426297,121.4673643
157,301638546,31.2416057,121.4681147
158,301638547,31.2410959,121.4684079
159,301638550,31.2401401,121.4688409
160,301638553,31.2366000,121.4697589
161,301638554,31.2357367,121.4700726
162,301638556,31.2341554,121.4711371
163,301638560,31.2311099,121.4737221
164,301638561,31.2291572,121.4749560
165,301638562,31.2280307,121.4756133
166,301638567,31.2272762,121.4760329
167,301639382,31.2261386,121.4764621
168,301639384,31.2251725,121.4768826
169,301639386,31.2225201,121.4772689
170,301639390,31.2196428,121.4792086
171,301639392,31.2183069,121.4799811
172,301639394,31.2163030,121.4808738
173,301639396,31.2155910,121.4811570
174,301639398,31.2139173,121.4814746
175,301639400,31.2133668,121.4817836
176,301639402,31.2127061,121.4821269
177,301639404,31.2113848,121.4825045
178,301639406,31.2103057,121.4828736
179,301639408,31.2093514,121.4831569
180,301639410,31.2070169,121.4836718
181,301639411,31.2063416,121.4839036
182,301639412,31.2045943,121.4847190
183,301639414,31.2024881,121.4857692
184,301639415,31.1995147,121.4878721
185,301639416,31.1958706,121.4900441
186,301639419,31.1856824,121.4892125
187,301639420,31.1850416,121.4892686
188,301639422,31.1830412,121.4896435
189,301639423,31.1815435,121.4900011
190,385113562,31.2263214,121.4840293
191,385113763,31.2236239,121.4792112
192,385113781,31.2270308,121.4861181
193,385113782,31.2272457,121.4877977
194,385113785,31.2276793,121.4896340
195,385113786,31.2276965,121.4899914
196,385113788,31.2275587,121.4903570
197,385113789,31.2274482,121.4906479
198,385113791,31.2273853,121.4909629
199,385113794,31.2272788,121.4924630
200,385113795,31.2273067,121.4928039
201,385113967,31.2214295,121.4802479
202,385113968,31.2221963,121.4798169
203,385113969,31.2226274,121.4796197
204,385113970,31.2251508,121.4787255
205,385113971,31.2260761,121.4784709
206,385113972,31.2272165,121.4783287
207,385113973,31.2275174,121.4783887
208,385113974,31.2279284,121.4786119
209,385113975,31.2290198,121.4792767
210,385114245,31.2164763,121.4858528
211,385114246,31.2163949,121.4854344
212,385114247,31.2164224,121.4850917
213,385114248,31.2170953,121.4839135
214,385114249,31.2176194,121.4832311
215,385114250,31.2185849,121.4820155
216,385114251,31.2190840,121.4817018
217,385114252,31.2200036,121.4811682
218,385114438,31.2218216,121.4942624
219,385114439,31.2214745,121.4942387
220,385114441,31.2199621,121.4941313
221,385114442,31.2191876,121.4941321
222,385114443,31.2188174,121.4940566
223,385114444,31.2177437,121.4937191
224,385114445,31.2172356,121.4934602
225,385114446,31.2171197,121.4933074
226,385114447,31.2169374,121.4925590
227,385114448,31.2169408,121.4911683
228,385114449,31.2170716,121.4900592
229,385114450,31.2171874,121.4890560
230,385114451,31.2171671,121.4887157
231,385114454,31.2254069,121.4939017
232,385114529,31.2269971,121.4930180
233,385114530,31.2279898,121.4950097
234,385114569,31.2228820,121.4772794
235,461673917,31.2522654,121.4650765
236,469778114,31.2735518,121.4933829
237,469778116,31.2703980,121.4898290
238,469778118,31.2685985,121.4877534
239,469778120,31.2680711,121.4872757
240,469778122,31.2675251,121.4869181
241,469778124,31.2661628,121.4863266
242,469778126,31.2615934,121.4842986
243,469778128,31.2602245,121.4841956
244,471988271,31.1726509,121.3927770
245,471988272,31.1746337,121.4027763
246,471988273,31.1762125,121.4110160
247,471988275,31.1776812,121.4164234
248,471988276,31.1779382,121.4169813
249,471988277,31.1791499,121.4187408
250,471988278,31.1795538,121.4191270
251,471988279,31.1828582,121.4208437
252,471988280,31.1950556,121.4276891
253,471988281,31.1958691,121.4283881
254,471988282,31.1968816,121.4302226
255,471988285,31.1979188,121.4351485
256,471988286,31.1988672,121.4398007
257,471988287,31.2007733,121.4441467
258,471988288,31.2026427,121.4496432
259,471988289,31.2033590,121.4517833
260,471988290,31.2067454,121.4624802
261,471988291,31.2093617,121.4651954
262,471988292,31.2104165,121.4677266
263,471988294,31.2137878,121.4811531
264,471988295,31.2143543,121.4857746
265,471988296,31.2146846,121.4883066
266,471988297,31.2149415,121.4902378
267,471988298,31.2157490,121.4920402
268,471988299,31.2170336,121.4933706
269,471988300,31.2197522,121.4940975
270,471988301,31.2225648,121.4942482
271,471988302,31.2243108,121.4958092
272,471988303,31.2247349,121.4969224
273,471988304,31.2284357,121.5018013
274,471988305,31.2307616,121.5056024
275,471988306,31.2328549,121.5132038
276,471988307,31.2332372,121.5149019
277,471988308,31.2323556,121.5187862
278,471988309,31.2306159,121.5225990
279,471988310,31.2270893,121.5287328
280,471988311,31.2255163,121.5316570
281,471988312,31.2252544,121.5335823
282,471988313,31.2255689,121.5353917
283,471988314,31.2259184,121.5361914
284,471988315,31.2284582,121.5409453
285,471988316,31.2293858,121.5437829
286,472225778,31.1405747,121.3169845
287,472225779,31.1426836,121.3187350
288,472225780,31.1450343,121.3223398
289,472225781,31.1526738,121.3357294
290,472225783,31.1601657,121.3587321
291,472225785,31.1604595,121.3640536
292,472225786,31.1611939,121.3659418
293,472225787,31.1639849,121.3707483
294,472225789,31.1660413,121.3745249
295,472225791,31.1689790,121.3803614
296,472226244,31.1393075,121.3141950
297,472226277,31.1518149,121.3342241
298,472226771,31.1862310,121.4227572
299,472226807,31.1769934,121.4138721
300,472368047,31.2598228,121.4841611
301,472368053,31.2562974,121.4824903
302,472368060,31.2542864,121.4802053
303,472368070,31.2475606,121.4775935
304,472368075,31.2428896,121.4790886
305,472368078,31.2402618,121.4801795
306,472368080,31.2363531,121.4814752
307,472368083,31.2336157,121.4821361
308,472368086,31.2289658,121.4831102
309,472368089,31.2283643,121.4832445
310,472368091,31.2275666,121.4834879
311,472368093,31.2268892,121.4838192
312,472368125,31.2249263,121.4848798
313,472368127,31.2241286,121.4849622
314,472368130,31.2225203,121.4837298
315,472368133,31.2213652,121.4813672
316,472368137,31.2211733,121.4807887
317,475974091,31.2237740,121.4861566
318,475974715,31.2239982,121.4879470
319,475974717,31.2271227,121.4877826
320,475974946,31.2304514,121.4926328
321,475974959,31.2298097,121.4914034
322,475974969,31.2303285,121.4924510
323,475975057,31.2267646,121.4853420
324,475975342,31.2285992,121.4849322
325,475975347,31.2298892,121.4846845
326,475975536,31.2298667,121.4860613
327,475975622,31.2286165,121.4831012
328,475975640,31.2288795,121.4848794
329,475975643,31.2290446,121.4861989
330,475976273,31.2239611,121.4800046
331,475976274,31.2242522,121.4805019
332,475976275,31.2244079,121.4807382
333,475976279,31.2247604,121.4811253
334,475976282,31.2249960,121.4815877
335,475976284,31.2251385,121.4819676
336,475976289,31.2257990,121.4822423
337,475976293,31.2259307,121.4824512
338,475976301,31.2261729,121.4827602
339,475976308,31.2263491,121.4830520
340,475976313,31.2264298,121.4833524
341,475976318,31.2264078,121.4837043
342,475976364,31.2264759,121.4878222
343,475976996,31.2263841,121.4873944
344,475977000,31.2254841,121.4844909
345,475977022,31.2258817,121.4842453
346,475977438,31.2266353,121.4897382
347,475977445,31.2266573,121.4887168
348,475977454,31.2265773,121.4883261
349,475977497,31.2276943,121.4896897
350,475977519,31.2273472,121.4897468
351,475977663,31.2251894,121.4896267
352,475977664,31.2244628,121.4896352
353,475977667,31.2241470,121.4896593
354,475977669,31.2239940,121.4896901
355,475977684,31.2250353,121.4879013
356,475977686,31.2251087,121.4896276
357,475977736,31.2251821,121.4910429
358,475977737,31.2253215,121.4928711
359,475977804,31.2238495,121.4909360
360,475977913,31.2240584,121.4909765
361,475977916,31.2265179,121.4908540
362,475977919,31.2268408,121.4908712
363,475978022,31.2275601,121.4909570
364,475978024,31.2290060,121.4905708
365,475978025,31.2297279,121.4903480
366,475978398,31.2268775,121.4927251
367,475978399,31.2261803,121.4928024
368,475978402,31.2240297,121.4929655
369,475978407,31.2237687,121.4916678
370,475978414,31.2245665,121.4910049
371,475978428,31.2245584,121.4929268
372,475978447,31.2248088,121.4941259
373,475978675,31.2252543,121.4956727
374,475978728,31.2271483,121.4941297
375,475978741,31.2251577,121.4953756
376,475978752,31.2230192,121.4948265
377,475978939,31.2236134,121.4928970
378,475979135,31.2234939,121.4963386
379,475979686,31.2233244,121.4927202
380,475979688,31.2229070,121.4941364
381,475979690,31.2228462,121.4948148
382,475979692,31.2229758,121.4956975
383,475979698,31.2243115,121.4986212
384,475979876,31.2243894,121.4985422
385,475979885,31.2240671,121.4977533
386,475979890,31.2236554,121.4967506
387,475979960,31.2233491,121.4963937
388,475980595,31.2232373,121.4956842
389,475980596,31.2230847,121.4948268
390,475980598,31.2231124,121.4946394
391,475980599,31.2232594,121.4939418
392,475980794,31.2240102,121.4912957
393,475980801,31.2237561,121.4920986
394,475980802,31.2238502,121.4917700
395,475982002,31.2226648,121.4945980
396,475982287,31.2235719,121.4962972
397,475982300,31.2232703,121.4946541
398,476078767,31.2335209,121.4870498
399,476078905,31.2298319,121.4881386
400,476552806,31.2218508,121.4864168
401,476553401,31.2207633,121.4870785
402,476553402,31.2196763,121.4874937
403,476553403,31.2186599,121.4877828
404,476553848,31.2170595,121.4880933
405,476553852,31.2159156,121.4883899
406,476553855,31.2146186,121.4886546
407,476553960,31.2146074,121.4888046
408,476553961,31.2165188,121.4883426
409,476553962,31.2170789,121.4882019
410,476554611,31.2238654,121.4878804
411,476554805,31.2235200,121.4879607
412,476554807,31.2221401,121.4883813
413,476554809,31.2212391,121.4886810
414,476554810,31.2203185,121.4891205
415,476554812,31.2201143,121.4892739
416,476554814,31.2200042,121.4892653
417,476554815,31.2196005,121.4891795
418,476554817,31.2180935,121.4894514
419,476555409,31.2225365,121.4899434
420,476555412,31.2207161,121.4903726
421,476555415,31.2192481,121.4905614
422,476555417,31.2176333,121.4908875
423,476555419,31.2169554,121.4910201
424,476555421,31.2168650,121.4910851
425,476555423,31.2163876,121.4911460
426,476555427,31.2161432,121.4912824
427,476555428,31.2148833,121.4912730
428,476556038,31.2188620,121.4928819
429,476556039,31.2199308,121.4929303
430,476556040,31.2209070,121.4929131
431,476556042,31.2211565,121.4929131
432,476556047,31.2232006,121.4931494
433,476556302,31.2215768,121.4901570
434,476556639,31.2215018,121.4893561
435,476556641,31.2204289,121.4872311
436,476556643,31.2192775,121.4849738
437,476556645,31.2180670,121.4826719
438,476557270,31.2194457,121.4891986
439,476557955,31.2197718,121.4904940
440,476558313,31.2165784,121.4846968
441,476559329,31.2179059,121.4879982
442,476559347,31.2180383,121.4908065
443,476559359,31.2173422,121.4935266
444,476559393,31.2169366,121.4850931
445,476559394,31.2171600,121.4855263
446,476559396,31.2180824,121.4891340
447,476559398,31.2179820,121.4914054
448,476559404,31.2174791,121.4931456
449,476559405,31.2171953,121.4939030
450,476559407,31.2171415,121.4944495
451,476559409,31.2171121,121.4955739
452,476559411,31.2170240,121.4965695
453,476559412,31.2169213,121.4972218
454,476559414,31.2168258,121.4976596
455,476559416,31.2165175,121.4987754
456,476559418,31.2162680,121.4995994
457,476559738,31.2185875,121.4968099
458,476559746,31.2183795,121.5014674
459,476559922,31.2194039,121.4852266
460,476559988,31.2174653,121.4865562
461,476559990,31.2167618,121.4868438
462,476560013,31.2146280,121.4872430
463,476560259,31.2210729,121.4804872
464,476560638,31.2208138,121.4787518
465,476560812,31.2209669,121.4805561
466,476560879,31.2220788,121.4943958
467,476561126,31.2218246,121.4950299
468,476561127,31.2218104,121.4952474
469,476561128,31.2218279,121.4953668
470,476561129,31.2228888,121.4984492
471,476561130,31.2231963,121.4994174
472,476561683,31.2160686,121.5020871
473,476561935,31.2116061,121.4970214
474,476561937,31.2124313,121.4966200
475,476561939,31.2127390,121.4964422
476,476561940,31.2131164,121.4960855
477,476561941,31.2132854,121.4957992
478,476561942,31.2135058,121.4950995
479,476561943,31.2135740,121.4944409
480,476561944,31.2136915,121.4939431
481,476561945,31.2138841,121.4936586
482,476561946,31.2144691,121.4931119
483,476561947,31.2149405,121.4927072
484,476561948,31.2151155,121.4923472
485,476561949,31.2151488,121.4920273
486,476561950,31.2151393,121.4916673
487,476561951,31.2150639,121.4912872
488,476561952,31.2148040,121.4901060
489,476561954,31.2146647,121.4900800
490,476562058,31.2150128,121.4917029
491,476562059,31.2150201,121.4920806
492,476562060,31.2149907,121.4922952
493,476562061,31.2148660,121.4925698
494,476562062,31.2146457,121.4928101
495,476562064,31.2140879,121.4931964
496,476562065,31.2137942,121.4933852
497,476562066,31.2135520,121.4935998
498,476562068,31.2133386,121.4940735
499,476562069,31.2132437,121.4948186
500,476562071,31.2130528,121.4957627
501,476562073,31.2126473,121.4962343
502,476562074,31.2124436,121.4963485
503,476562075,31.2122224,121.4964381
504,476562076,31.2120050,121.4966983
505,476562078,31.2115534,121.4969214
506,476562079,31.2114149,121.4969762
507,476562102,31.2134061,121.4938402
508,476562299,31.2137217,121.4934494
509,476562809,31.2136644,121.4938243
510,476562810,31.2137928,121.4935872
511,476562811,31.2140257,121.4934164
512,476792263,31.2328267,121.4823711
513,477444686,31.2147760,121.4887778
514,477444694,31.2147785,121.4886300
515,477444705,31.2147721,121.4872193
516,477444967,31.2143239,121.4848653
517,477444968,31.2139198,121.4817121
518,477444970,31.2137189,121.4801391
519,477444973,31.2134398,121.4780610
520,477445166,31.2132510,121.4777845
521,477445170,31.2135432,121.4799047
522,477445173,31.2139085,121.4827620
523,477445174,31.2144473,121.4872674
524,477618430,31.2310966,121.4750348
525,477618799,31.2314391,121.4757606
526,477619297,31.2321075,121.4771596
527,478373250,31.2202561,121.4765458
528,478373282,31.2151736,121.4747760
529,478373314,31.2286029,121.4948384
530,478373353,31.2212086,121.4771366
531,478768021,31.1764007,121.4909331
532,478768038,31.1743078,121.4913194
533,478768049,31.1727625,121.4918051
534,478768065,31.1719211,121.4920489
535,478768087,31.1713336,121.4921777
536,478768098,31.1688725,121.4923660
537,478768115,31.1667860,121.4920612
538,478768131,31.1650924,121.4911373
539,478768145,31.1643339,121.4904665
540,478768162,31.1635553,121.4896811
541,478768224,31.1610066,121.4861185
542,478768247,31.1601339,121.4843193
543,478768262,31.1598613,121.4836438
544,478768281,31.1578626,121.4786191
545,478768302,31.1576525,121.4782319
546,478768319,31.1570394,121.4774313
547,478768342,31.1563658,121.4767408
548,478768372,31.1527055,121.4731348
549,478768423,31.1498280,121.4721458
550,478768457,31.1456154,121.4837989
551,478768611,31.1430995,121.4848026
552,478768652,31.1331010,121.4889504
553,478768697,31.1174547,121.4950169
554,478773672,31.1513146,121.4722129
555,479280077,31.2326914,121.4842771
556,479280088,31.2315138,121.4846802
557,479280217,31.2328935,121.4849958
558,479280255,31.2315402,121.4855144
559,479280511,31.2330398,121.4853343
560,479281346,31.2306744,121.4817861
561,479282332,31.2316212,121.4811704
562,479282364,31.2305918,121.4815849
563,479283382,31.2304359,121.4811504
564,479283552,31.2313482,121.4805867
565,479283989,31.2317895,121.4815587
566,479284039,31.2319639,121.4820865
567,479284103,31.2309250,121.4824274
568,479284114,31.2305450,121.4828437
569,479284692,31.2302474,121.4784613
570,479286226,31.2317006,121.4763347
571,479286375,31.2287574,121.4787242
572,479286446,31.2298750,121.4777541
573,479288842,31.2295637,121.4771577
574,479288912,31.2285014,121.4780297
575,479290062,31.2281834,121.4772650
576,479291272,31.2283703,121.4789154
577,479292469,31.2292234,121.4765043
578,479292494,31.2269886,121.4778316
579,479292512,31.2261739,121.4782092
580,479292967,31.2301127,121.4758037
581,479293036,31.2304502,121.4764789
582,479293180,31.2307504,121.4770703
583,479293261,31.2311130,121.4778224
584,479297279,31.2208975,121.4785233
585,479297947,31.2137658,121.4816537
586,479297994,31.2139089,121.4815968
587,479298057,31.2039252,121.4851189
588,479298061,31.2051289,121.4845264
589,479298067,31.2064984,121.4838636
590,479298070,31.2069700,121.4836770
591,479298075,31.2073284,121.4835536
592,479298081,31.2093500,121.4832046
593,479298086,31.2106200,121.4828012
594,479298089,31.2116477,121.4824750
595,479298091,31.2127782,121.4821574
596,479298094,31.2130938,121.4820115
597,479298098,31.2143956,121.4814796
598,479298107,31.2156190,121.4812133
599,479298110,31.2159273,121.4811189
600,479298745,31.2264099,121.4729820
601,479299038,31.2236620,121.4745759
602,479299194,31.2283317,121.4747362
603,479299222,31.2272798,121.4751112
604,479299959,31.2280172,121.4740169
605,479300368,31.2268968,121.4741966
606,479302313,31.2264459,121.4704658
607,479302873,31.2255394,121.4708644
608,479302935,31.2268921,121.4715359
609,479319990,31.2226726,121.4753522
610,479320217,31.2239037,121.4748123
611,479322299,31.2243111,121.4756330
612,479411784,31.1487779,121.4726302
613,479411792,31.1484211,121.4729267
614,479921578,31.2452040,121.4668504
615,479995053,31.2170406,121.4625625
616,479995536,31.2175051,121.4659931
617,481384546,31.2304527,121.4908674
618,481384563,31.2307304,121.4920419
619,481386949,31.2282436,121.4947758
620,481387485,31.2285484,121.4906930
621,481387488,31.2287275,121.4916150
622,481387832,31.2283966,121.4924190
623,481387876,31.2290338,121.4939719
