id,oneway,category,nodes
91,True,secondary,"['7682752532', '599407014', '1573781731', '599407018']"
92,True,secondary,"['7682752532', '481433745', '845389542', '479284114', '624739122']"
93,True,secondary,"['624739122', '479284114', '845389542', '481433745', '7682752532']"
94,True,secondary,"['624739122', '848690444']"
95,True,secondary,"['848690444', '624739122']"
96,True,secondary,"['848690444', '6975647434', '599408454']"
97,True,secondary,"['599408454', '6975647434', '848690444']"
98,True,secondary,"['599408454', '1889255117', '476792263']"
99,True,secondary,"['476792263', '1889255117', '599408454']"
100,True,secondary,"['93325983', '93325898', '3356022888', '93338003', '93332133']"
101,True,secondary,"['93332133', '93338003', '3356022888', '93325898', '93325983']"
102,True,secondary,"['93332133', '93332044']"
103,True,secondary,"['93332044', '93332133']"
104,True,secondary,"['93332044', '93338063', '3356022886', '639309886']"
105,True,secondary,"['639309886', '3356022886', '93338063', '93332044']"
106,True,secondary,"['639309886', '93325977', '639308707']"
107,True,secondary,"['639308707', '93325977', '639309886']"
108,True,secondary,"['639308707', '1316236955']"
109,True,secondary,"['1316236955', '639308707']"
110,True,secondary,"['1316236955', '1316236371']"
111,True,secondary,"['1316236371', '1316236955']"
112,True,secondary,"['1316236371', '476552806']"
113,True,secondary,"['476552806', '1316236371']"
114,True,secondary,"['476552806', '1316471903']"
115,True,secondary,"['1316471903', '476552806']"
116,True,secondary,"['1316471903', '1316236342']"
117,True,secondary,"['1316236342', '1316471903']"
118,True,secondary,"['1316236342', '4464345989', '6975647418', '599406834']"
119,True,secondary,"['599406834', '6975647418', '4464345989', '1316236342']"
120,False,secondary,"['95612191', '483107387', '4397155843']"
121,False,secondary,"['4397155843', '483107387', '95612191']"
122,False,secondary,"['4397155843', '1807311604', '483103101']"
123,False,secondary,"['483103101', '1807311604', '4397155843']"
124,False,secondary,"['483103101', '601145290']"
125,False,secondary,"['601145290', '483103101']"
126,False,secondary,"['601145290', '76482738']"
127,False,secondary,"['76482738', '601145290']"
128,True,residential,"['639305926', '654397602']"
129,True,residential,"['654397602', '639305926']"
130,True,residential,"['654397602', '95679584']"
131,True,residential,"['95679584', '654397602']"
132,False,residential,"['857780858', '2049780811', '1572267371', '93310009']"
133,False,residential,"['93310009', '1572267371', '2049780811', '857780858']"
134,False,residential,"['93310009', '147477301']"
135,False,residential,"['147477301', '93310009']"
136,False,residential,"['147477301', '601145288']"
137,False,residential,"['601145288', '147477301']"
138,False,residential,"['601145288', '93310272']"
139,False,residential,"['93310272', '601145288']"
140,False,unclassified,"['76482739', '385114252']"
141,False,unclassified,"['385114252', '76482739']"
142,False,residential,"['479322299', '4153722393']"
143,False,residential,"['4153722393', '479322299']"
144,True,secondary,"['93310875', '476554611']"
145,True,secondary,"['476554611', '93310875']"
146,True,secondary,"['476554611', '1316471849']"
147,True,secondary,"['1316471849', '476554611']"
148,True,secondary,"['1316471849', '3356028132', '3356028131', '1316471807']"
149,True,secondary,"['1316471807', '3356028131', '3356028132', '1316471849']"
150,True,secondary,"['1316471807', '475977669']"
151,True,secondary,"['475977669', '1316471807']"
152,True,secondary,"['475977669', '1320104044']"
153,True,secondary,"['1320104044', '475977669']"
154,True,secondary,"['1320104044', '76482745']"
155,True,secondary,"['76482745', '1320104044']"
156,True,secondary,"['152878638', '482733092']"
157,True,secondary,"['482733092', '152878638']"
158,True,secondary,"['482733092', '152878617']"
159,True,secondary,"['152878617', '482733092']"
160,True,secondary,"['152847559', '75355694', '479280255', '1315785553', '479280088', '4075546745', '1315785456', '845390852', '848690433', '848690442', '848690444']"
161,True,secondary,"['848690444', '848690442', '848690433', '845390852', '1315785456', '4075546745', '479280088', '1315785553', '479280255', '75355694', '152847559']"
162,True,secondary,"['848690444', '152847380', '479284103', '6975647431', '75355695', '479281346', '479282364', '479283382', '624739361', '848690687', '4075546743', '848690530', '1315785324', '848690690', '848690692', '848690693', '385113975']"
163,True,secondary,"['385113975', '848690693', '848690692', '848690690', '1315785324', '848690530', '4075546743', '848690687', '624739361', '479283382', '479282364', '479281346', '75355695', '6975647431', '479284103', '152847380', '848690444']"
164,True,tertiary,"['477619297', '1315785335', '479293261', '1315785307', '479284692']"
165,True,tertiary,"['479284692', '1315785307', '479293261', '1315785335', '477619297']"
166,True,tertiary,"['479284692', '1315785615', '1315785370']"
167,True,tertiary,"['1315785370', '1315785615', '479284692']"
168,True,tertiary,"['1315785370', '385113975']"
169,True,tertiary,"['385113975', '1315785370']"
170,False,residential,"['385113763', '483098146']"
171,False,residential,"['483098146', '385113763']"
172,False,residential,"['483098146', '475976273', '1316236875']"
173,False,residential,"['1316236875', '475976273', '483098146']"
174,False,residential,"['1316236875', '475976274', '475976275', '481395518']"
175,False,residential,"['481395518', '475976275', '475976274', '1316236875']"
176,False,residential,"['481395518', '475976279', '1316197001']"
177,False,residential,"['1316197001', '475976279', '481395518']"
178,False,residential,"['1316197001', '475976282', '481391756']"
179,False,residential,"['481391756', '475976282', '1316197001']"
180,False,residential,"['481391756', '475976284', '481390910', '481390911', '481390912', '1316192095', '481390913', '475976289', '1316192114', '475976293', '1316192034', '475976301']"
181,False,residential,"['475976301', '1316192034', '475976293', '1316192114', '475976289', '481390913', '1316192095', '481390912', '481390911', '481390910', '475976284', '481391756']"
182,False,residential,"['475976301', '475976308', '475976313', '475976318', '385113562']"
183,False,residential,"['385113562', '475976318', '475976313', '475976308', '475976301']"
184,False,tertiary,"['385113795', '1548518395']"
185,False,tertiary,"['1548518395', '385113795']"
186,False,tertiary,"['1548518395', '385114529']"
187,False,tertiary,"['385114529', '1548518395']"
188,False,tertiary,"['385114529', '1317670965']"
189,False,tertiary,"['1317670965', '385114529']"
190,False,tertiary,"['1317670965', '1317670843', '1317671386']"
191,False,tertiary,"['1317671386', '1317670843', '1317670965']"
192,False,tertiary,"['1317671386', '385114454', '1317670969']"
193,False,tertiary,"['1317670969', '385114454', '1317671386']"
194,False,tertiary,"['1317670969', '475978447']"
195,False,tertiary,"['475978447', '1317670969']"
196,False,tertiary,"['475978447', '1317671372']"
197,False,tertiary,"['1317671372', '475978447']"
198,False,tertiary,"['1317671372', '482729435']"
199,False,tertiary,"['482729435', '1317671372']"
200,False,tertiary,"['482729435', '475982300', '475980598']"
201,False,tertiary,"['475980598', '475982300', '482729435']"
202,False,tertiary,"['475980598', '602393484']"
203,False,tertiary,"['602393484', '475980598']"
204,False,tertiary,"['602393484', '475982002', '1320103881']"
205,False,tertiary,"['1320103881', '475982002', '602393484']"
206,False,tertiary,"['1320103881', '1320104095']"
207,False,tertiary,"['1320104095', '1320103881']"
208,False,tertiary,"['1320104095', '476560879']"
209,False,tertiary,"['476560879', '1320104095']"
