origin_id,lat,lon,id
63338299,31.2123289,121.4433644,0
64813770,31.2233695,121.4935127,1
64813772,31.2237476,121.4924571,2
64813773,31.2241111,121.4903636,3
64813782,31.2205630,121.4774505,4
75354586,31.2276108,121.4956429,5
76482738,31.2171297,121.4805746,6
76482739,31.2193552,121.4794631,7
76482745,31.2239530,121.4901708,8
93246191,31.2220914,121.4741237,9
93310009,31.2219865,121.4756732,10
93310272,31.2226162,121.4774117,11
93310875,31.2238550,121.4876697,12
93325983,31.2246476,121.4849155,13
93332044,31.2237166,121.4853908,14
93332051,31.2237384,121.4855182,15
93332110,31.2238026,121.4854941,16
93332133,31.2237854,121.4853506,17
95612191,31.2158206,121.4765848,18
95679584,31.2180486,121.4800889,19
103736983,31.2274745,121.4954241,20
103764456,31.2319527,121.4909162,21
147477301,31.2223588,121.4765430,22
152847559,31.2314635,121.4862999,23
152848137,31.2297206,121.4898824,24
152848312,31.2288587,121.4922609,25
152878617,31.2276426,121.4758837,26
152878638,31.2258886,121.4766479,27
210643104,31.2311995,121.4901143,28
301639384,31.2251725,121.4768826,29
385113562,31.2263214,121.4840293,30
385113763,31.2236239,121.4792112,31
385113782,31.2272457,121.4877977,32
385113786,31.2276965,121.4899914,33
385113788,31.2275587,121.4903570,34
385113789,31.2274482,121.4906479,35
385113791,31.2273853,121.4909629,36
385113794,31.2272788,121.4924630,37
385113795,31.2273067,121.4928039,38
385113971,31.2260761,121.4784709,39
385113975,31.2290198,121.4792767,40
385114252,31.2200036,121.4811682,41
385114529,31.2269971,121.4930180,42
385114569,31.2228820,121.4772794,43
475974715,31.2239982,121.4879470,44
475975057,31.2267646,121.4853420,45
475975342,31.2285992,121.4849322,46
475975347,31.2298892,121.4846845,47
475975640,31.2288795,121.4848794,48
475975643,31.2290446,121.4861989,49
475976301,31.2261729,121.4827602,50
475976364,31.2264759,121.4878222,51
475977000,31.2254841,121.4844909,52
475977438,31.2266353,121.4897382,53
475977497,31.2276943,121.4896897,54
475977519,31.2273472,121.4897468,55
475977667,31.2241470,121.4896593,56
475977669,31.2239940,121.4896901,57
475977684,31.2250353,121.4879013,58
475977686,31.2251087,121.4896276,59
475977736,31.2251821,121.4910429,60
475977737,31.2253215,121.4928711,61
475977913,31.2240584,121.4909765,62
475977916,31.2265179,121.4908540,63
475978022,31.2275601,121.4909570,64
475978025,31.2297279,121.4903480,65
475978414,31.2245665,121.4910049,66
475978428,31.2245584,121.4929268,67
475978447,31.2248088,121.4941259,68
475978728,31.2271483,121.4941297,69
475978741,31.2251577,121.4953756,70
475978939,31.2236134,121.4928970,71
475979135,31.2234939,121.4963386,72
475979686,31.2233244,121.4927202,73
475979698,31.2243115,121.4986212,74
475979876,31.2243894,121.4985422,75
475979960,31.2233491,121.4963937,76
475980598,31.2231124,121.4946394,77
475980801,31.2237561,121.4920986,78
476078767,31.2335209,121.4870498,79
476078905,31.2298319,121.4881386,80
476552806,31.2218508,121.4864168,81
476553848,31.2170595,121.4880933,82
476553855,31.2146186,121.4886546,83
476553960,31.2146074,121.4888046,84
476553962,31.2170789,121.4882019,85
476554611,31.2238654,121.4878804,86
476554809,31.2212391,121.4886810,87
476554810,31.2203185,121.4891205,88
476554817,31.2180935,121.4894514,89
476555419,31.2169554,121.4910201,90
476555427,31.2161432,121.4912824,91
476555428,31.2148833,121.4912730,92
476556038,31.2188620,121.4928819,93
476556039,31.2199308,121.4929303,94
476556047,31.2232006,121.4931494,95
476556302,31.2215768,121.4901570,96
476556639,31.2215018,121.4893561,97
476556641,31.2204289,121.4872311,98
476556645,31.2180670,121.4826719,99
476557270,31.2194457,121.4891986,100
476557955,31.2197718,121.4904940,101
476558313,31.2165784,121.4846968,102
