,id,x,y,type
1692,650768197,12955.31,16347.20,priority
1693,650768286,12906.55,16353.82,priority
1694,65186723,13365.36,18570.85,right_before_left
1695,65186775,13175.52,18808.96,priority
1696,65186802,12922.96,19069.00,priority
1697,652786249,14285.83,17489.29,priority
1698,652786250,14362.47,17467.59,priority
1699,652786251,14364.78,17481.95,priority
1700,652786252,14284.05,17478.76,priority
1701,652791048,14588.95,17240.93,priority
1702,653917515,11674.05,17967.90,priority
1703,653950096,10514.15,15576.95,priority
1704,653950097,10478.70,15598.12,priority
1705,654454071,14729.37,18274.70,priority
1706,654454072,14789.85,18288.72,right_before_left
1707,654454076,14851.73,18303.35,priority
1708,654454101,14800.93,18120.32,priority
1709,656475225,14367.48,18365.93,right_before_left
1710,656475231,14363.53,18402.11,priority
1711,659553719,13706.70,19282.64,priority
1712,659558072,13031.94,18951.07,priority
1713,659558074,13031.64,18964.99,priority
1714,660192262,11676.05,18105.15,priority
1715,660852050,14728.64,18416.77,priority
1716,660852058,14768.05,18425.95,priority
1717,660852059,14804.12,18670.94,priority
1718,660852062,14765.18,18651.61,priority
1719,660852063,14727.16,18640.88,priority
1720,660852064,14688.61,18628.68,priority
1721,660852070,14778.42,18571.25,priority
1722,660852071,14692.13,18408.06,priority
1723,661087239,14852.68,17975.49,priority
1724,661087334,14722.32,17993.08,priority
1725,661092705,14337.08,16732.80,priority
1726,661333411,12436.35,17064.44,traffic_light
1727,661334125,12369.72,17090.29,priority
1728,661334146,12432.09,17103.25,priority
1729,662242688,14117.64,15487.97,priority
1730,662242701,14133.91,15472.61,priority
1731,662249454,13960.23,15310.31,priority
1732,663040553,11311.10,18962.53,priority
1733,663040555,11238.62,19054.44,priority
1734,663040557,11174.93,19100.40,priority
1735,663040558,11078.10,19158.41,priority
1736,663335609,10515.12,15324.48,priority
1737,663335623,10529.28,15210.78,priority
1738,663882737,12381.22,17038.75,priority
1739,664189379,13519.74,16899.91,priority
1740,664200744,13977.85,16438.40,right_before_left
1741,664200745,13951.42,16427.71,priority
